gene_id,symbol,name,kegg
279,AMY2A,"amylase, alpha 2A (pancreatic)",00500; 01100; 04972; 04973
280,AMY2B,"amylase, alpha 2B (pancreatic)",00500; 01100; 04972; 04973
281,AMYP1,"amylase, alpha pseudogene 1",NA
282,ANCR,Angelman syndrome chromosome region,NA
283,ANG,"angiogenin, ribonuclease, RNase A family, 5",NA
284,ANGPT1,angiopoietin 1,5323
285,ANGPT2,angiopoietin 2,NA
286,ANK1,"ankyrin 1, erythrocytic",NA
287,ANK2,"ankyrin 2, neuronal",NA
288,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",NA
289,ANOP1,"anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)",NA
290,ANPEP,alanyl (membrane) aminopeptidase,00480; 01100; 04614; 04640
291,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",04020; 05012; 05016
292,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",04020; 05012; 05016
293,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",04020; 05012; 05016
301,ANXA1,annexin A1,NA
302,ANXA2,annexin A2,NA
303,ANXA2P1,annexin A2 pseudogene 1,NA
304,ANXA2P2,annexin A2 pseudogene 2,NA
305,ANXA2P3,annexin A2 pseudogene 3,NA
306,ANXA3,annexin A3,NA
307,ANXA4,annexin A4,NA
308,ANXA5,annexin A5,NA
309,ANXA6,annexin A6,NA
310,ANXA7,annexin A7,NA
311,ANXA11,annexin A11,NA
312,ANXA13,annexin A13,NA
313,AOAH,acyloxyacyl hydrolase (neutrophil),NA
314,AOC2,"amine oxidase, copper containing 2 (retina-specific)",00260; 00350; 00360; 00410; 01100
316,AOX1,aldehyde oxidase 1,00280; 00350; 00380; 00750; 00760; 00982; 01100
317,APAF1,apoptotic peptidase activating factor 1,04115; 04210; 05010; 05012; 05014; 05016; 05222
318,NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2,00230; 00240
319,APOF,apolipoprotein F,NA
320,APBA1,"amyloid beta (A4) precursor protein-binding, family A, member 1",NA
321,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",NA
322,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",5010
323,APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2",NA
324,APC,adenomatous polyposis coli,04310; 04810; 05200; 05210; 05213; 05217
325,APCS,"amyloid P component, serum",NA
326,AIRE,autoimmune regulator,04120; 05340
327,APEH,N-acylaminoacyl-peptide hydrolase,NA
328,APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,3410
329,BIRC2,baculoviral IAP repeat containing 2,04120; 04210; 04510; 04621; 05145; 05200; 05222
330,BIRC3,baculoviral IAP repeat containing 3,04120; 04210; 04510; 04621; 05145; 05200; 05222
331,XIAP,X-linked inhibitor of apoptosis,04120; 04210; 04510; 04621; 05145; 05200; 05222
332,BIRC5,baculoviral IAP repeat containing 5,05200; 05210
333,APLP1,amyloid beta (A4) precursor-like protein 1,NA
334,APLP2,amyloid beta (A4) precursor-like protein 2,NA
335,APOA1,apolipoprotein A-I,03320; 04975; 04977; 05143
336,APOA2,apolipoprotein A-II,3320
337,APOA4,apolipoprotein A-IV,04975; 04977
338,APOB,apolipoprotein B (including Ag(x) antigen),04975; 04977
339,APOBEC1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",NA
341,APOC1,apolipoprotein C-I,NA
342,APOC1P1,apolipoprotein C-I pseudogene 1,NA
343,AQP8,aquaporin 8,4976
344,APOC2,apolipoprotein C-II,NA
345,APOC3,apolipoprotein C-III,3320
346,APOC4,apolipoprotein C-IV,NA
347,APOD,apolipoprotein D,NA
348,APOE,apolipoprotein E,5010
350,APOH,apolipoprotein H (beta-2-glycoprotein I),NA
351,APP,amyloid beta (A4) precursor protein,5010
353,APRT,adenine phosphoribosyltransferase,00230; 01100
354,KLK3,kallikrein-related peptidase 3,05200; 05215
355,FAS,"Fas (TNF receptor superfamily, member 6)",04010; 04060; 04115; 04210; 04650; 04940; 05010; 05142; 05143; 05200; 05320; 05330; 05332
356,FASLG,"Fas ligand (TNF superfamily, member 6)",04010; 04060; 04210; 04650; 04722; 04940; 05142; 05143; 05200; 05320; 05330; 05332
357,SHROOM2,shroom family member 2,NA
358,AQP1,aquaporin 1 (Colton blood group),04964; 04976
359,AQP2,aquaporin 2 (collecting duct),4962
360,AQP3,aquaporin 3 (Gill blood group),4962
361,AQP4,aquaporin 4,04962; 04976
362,AQP5,aquaporin 5,4970
363,AQP6,"aquaporin 6, kidney specific",NA
364,AQP7,aquaporin 7,3320
366,AQP9,aquaporin 9,4976
367,AR,androgen receptor,04114; 05200; 05215
368,ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",2010
369,ARAF,v-raf murine sarcoma 3611 viral oncogene homolog,04012; 04270; 04650; 04720; 04730; 04810; 04910; 04914; 05160; 05200; 05210; 05211; 05212; 05213; 05214; 05215; 05218; 05219; 05220; 05221; 05223
372,ARCN1,archain 1,NA
373,TRIM23,tripartite motif containing 23,NA
374,AREG,amphiregulin,4012
375,ARF1,ADP-ribosylation factor 1,5110
377,ARF3,ADP-ribosylation factor 3,NA
378,ARF4,ADP-ribosylation factor 4,NA
379,ARL4D,ADP-ribosylation factor-like 4D,NA
380,ARF4P1,ADP-ribosylation factor 4 pseudogene 1,NA
381,ARF5,ADP-ribosylation factor 5,NA
382,ARF6,ADP-ribosylation factor 6,04144; 04666
383,ARG1,"arginase, liver",00330; 01100; 05146
384,ARG2,"arginase, type II",00330; 01100; 05146
387,RHOA,ras homolog family member A,04062; 04144; 04270; 04310; 04350; 04360; 04510; 04520; 04530; 04660; 04670; 04722; 04810; 04972; 05100; 05130; 05200; 05210
388,RHOB,ras homolog family member B,NA
389,RHOC,ras homolog family member C,NA
390,RND3,Rho family GTPase 3,NA
391,RHOG,ras homolog family member G,05100; 05131
392,ARHGAP1,Rho GTPase activating protein 1,NA
393,ARHGAP4,Rho GTPase activating protein 4,NA
394,ARHGAP5,Rho GTPase activating protein 5,04510; 04670
395,ARHGAP6,Rho GTPase activating protein 6,NA
396,ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,04722; 04962
397,ARHGDIB,Rho GDP dissociation inhibitor (GDI) beta,04722; 04962
398,ARHGDIG,Rho GDP dissociation inhibitor (GDI) gamma,NA
399,RHOH,ras homolog family member H,4670
400,ARL1,ADP-ribosylation factor-like 1,NA
401,PHOX2A,paired-like homeobox 2a,NA
402,ARL2,ADP-ribosylation factor-like 2,NA
403,ARL3,ADP-ribosylation factor-like 3,NA
405,ARNT,aryl hydrocarbon receptor nuclear translocator,05200; 05211
406,ARNTL,aryl hydrocarbon receptor nuclear translocator-like,4710
407,ARR3,"arrestin 3, retinal (X-arrestin)",NA
408,ARRB1,"arrestin, beta 1",04010; 04062; 04144; 04744
409,ARRB2,"arrestin, beta 2",04010; 04062; 04144; 04740; 04744
410,ARSA,arylsulfatase A,00600; 04142
411,ARSB,arylsulfatase B,00531; 01100; 04142
412,STS,"steroid sulfatase (microsomal), isozyme S",140
413,ARSC2,"arylsulfatase C, isozyme F",NA
414,ARSD,arylsulfatase D,NA
415,ARSE,arylsulfatase E (chondrodysplasia punctata 1),NA
416,ARSF,arylsulfatase F,NA
417,ART1,ADP-ribosyltransferase 1,NA
418,ART2P,"ADP-ribosyltransferase 2 (RT6 antigen homolog, rat), pseudogene",NA
419,ART3,ADP-ribosyltransferase 3,NA
420,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),NA
421,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome,NA
424,ARVD3,arrhythmogenic right ventricular dysplasia 3,NA
425,ARVD4,arrhythmogenic right ventricular dysplasia 4,NA
427,ASAH1,N-acylsphingosine amidohydrolase (acid ceramidase) 1,00600; 01100; 04142
429,ASCL1,achaete-scute complex homolog 1 (Drosophila),NA
430,ASCL2,achaete-scute complex homolog 2 (Drosophila),NA
431,ASD1,atrial septal defect 1,NA
432,ASGR1,asialoglycoprotein receptor 1,NA
433,ASGR2,asialoglycoprotein receptor 2,NA
434,ASIP,agouti signaling protein,4916
435,ASL,argininosuccinate lyase,00250; 00330; 01100
436,ASLP1,argininosuccinate lyase pseudogene 1,NA
437,ASMD,anterior segment mesenchymal dysgenesis,NA
438,ASMT,acetylserotonin O-methyltransferase,00380; 01100
439,ASNA1,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",NA
440,ASNS,asparagine synthetase (glutamine-hydrolyzing),00250; 00910; 01100
442,ASNSP2,asparagine synthetase pseudogene 2,NA
443,ASPA,aspartoacylase,00250; 00340
444,ASPH,aspartate beta-hydroxylase,NA
445,ASS1,argininosuccinate synthase 1,00250; 00330; 01100
447,ASS1P2,argininosuccinate synthetase 1 pseudogene 2,NA
449,ASS1P4,argininosuccinate synthetase 1 pseudogene 4,NA
450,ASS1P5,argininosuccinate synthetase 1 pseudogene 5,NA
451,ASS1P6,argininosuccinate synthetase 1 pseudogene 6,NA
453,ASS1P8,argininosuccinate synthetase 1 pseudogene 8,NA
454,ASS1P9,argininosuccinate synthetase 1 pseudogene 9,NA
455,ASS1P10,argininosuccinate synthetase 1 pseudogene 10,NA
459,ASS1P14,argininosuccinate synthetase 1 pseudogene 14,NA
460,ASTN1,astrotactin 1,NA
462,SERPINC1,"serpin peptidase inhibitor, clade C (antithrombin), member 1",4610
463,ZFHX3,zinc finger homeobox 3,NA
465,ATD,asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome),NA
466,ATF1,activating transcription factor 1,NA
467,ATF3,activating transcription factor 3,NA
468,ATF4,activating transcription factor 4 (tax-responsive enhancer element B67),04010; 04141; 04720; 04722; 04912; 05215
469,ATF4P1,activating transcription factor 4 pseudogene 1,NA
470,ATHS,atherosclerosis susceptibility (lipoprotein associated),NA
471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,00230; 00670; 01100
472,ATM,ataxia telangiectasia mutated,04110; 04115; 04210
473,RERE,arginine-glutamic acid dipeptide (RE) repeats,NA
474,ATOH1,atonal homolog 1 (Drosophila),NA
475,ATOX1,ATX1 antioxidant protein 1 homolog (yeast),NA
476,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",04260; 04960; 04964; 04970; 04971; 04972; 04973; 04974; 04976
