name,kegg,biocyc,smdb,other
biotin-carboxyl carrier protein assembly,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1264"" target='_blank'>BioCyc Link</a>",,
bisphenol a degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00363"" target=_new>KEGG</a>",,,
bisphenol degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00363"" target=_new>KEGG</a>",,,
blood group biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/117"" target='_blank'>Other Link</a>"
bmp signalling pathway,,,,
branched-chain &alpha;-keto acid dehydrogenase complex,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=ENZYME&object=CPLX-7050"" target='_blank'>Other Link</a>"
brassinosteroid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00905"" target=_new>KEGG</a>",,,
bupropion degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-241"" target='_blank'>BioCyc Link</a>",,
butanediol biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5951"" target='_blank'>BioCyc Link</a>",,
butanoate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00650"" target=_new>KEGG</a>",,,
c21-steroid hormone biosynthesis and metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00140"" target=_new>KEGG</a>",,,
c5-branched dibasic acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00660"" target=_new>KEGG</a>",,,
caffeine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00232"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00016"""" target=_new>SMP</a>",
calcium transport i,,,,"<a href=""http://rgd.mcw.edu/rgdweb/pathway/pathwayRecord.html?acc_id=PW:0001139"" target='_blank'>Other Link</a>"
caprolactam degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00930"" target=_new>KEGG</a>",,,
carbazole degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6550"" target='_blank'>BioCyc Link</a>",,
carbon fixation,,,,"<a href=""http://metafishnet.appspot.com/humanpathway/121"" target='_blank'>Other Link</a>"
carbon fixation in photosynthetic organisms,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00720"" target=_new>KEGG</a>",,,
cardiolipin biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-5269"" target='_blank'>BioCyc Link</a>",,
cardiolipin biosynthesis ii,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5269"" target='_blank'>BioCyc Link</a>",,
carnitine shuttle,,,,"<a href=""http://metafishnet.appspot.com/pathway/122"" target='_blank'>Other Link</a>"
carotenoid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00906"" target=_new>KEGG</a>",,,
catecholamine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-301"" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00017"""" target=_new>SMP</a>",
cdp-diacylglycerol biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5667"" target='_blank'>BioCyc Link</a>",,
cdp-diacylglycerol biosynthesis i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1319"" target='_blank'>BioCyc Link</a>",,
ceramide biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY3DJ-12"" target='_blank'>BioCyc Link</a>",,
ceramide degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6483"" target='_blank'>BioCyc Link</a>",,
chitin degradation to ethanol,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7118"" target='_blank'>BioCyc Link</a>",,
chitosan biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-70"" target='_blank'>Other Link</a>"
chloroalkane and chloroalkene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00625"" target=_new>KEGG</a>",,,
chlorocyclohexane and chlorobenzene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00361"" target=_new>KEGG</a>",,,
choline biosynthesis,,"<a href=""https://biocyc.org/login.html?redirect=https%3A%2F%2Fbiocyc.org%2FMETA%2FNEW-IMAGE%3Ftype%3DPATHWAY%26object%3DPWY-3385"" target='_blank'>BioCyc Link</a>",,
choline biosynthesis iii,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-3561"" target='_blank'>BioCyc Link</a>",,
choline degradation i,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=CHOLINE-BETAINE-ANA-PWY"" target='_blank'>BioCyc Link</a>",,
chondroitin and dermatan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00532"" target=_new>KEGG</a>",,,
chondroitin sulfate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6569"" target='_blank'>BioCyc Link</a>",,
chondroitin sulfate biosynthesis (late stages),,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6567"" target='_blank'>Other Link</a>"
chondroitin sulfate degradation,,,,"<a href=""http://metafishnet.appspot.com/pathway/123"" target='_blank'>Other Link</a>"
chondroitin sulfate degradation (metazoa),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6573"" target='_blank'>BioCyc Link</a>",,
citrate cycle (tca cycle),"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00020"" target=_new>KEGG</a>",,,
citrulline biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=CITRUL-BIO2-PWY&redirect=T"" target='_blank'>Other Link</a>"
citrulline degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=CITRULLINE-DEG-PWY"" target='_blank'>BioCyc Link</a>",,
citrulline-nitric oxide cycle,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4983"" target='_blank'>BioCyc Link</a>",,
cmp-<i>n</i>-acetylneuraminate biosynthesis i (eukaryotes),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6138"" target='_blank'>BioCyc Link</a>",,
cmp-kdo biosynthesis i,,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-1269"" target='_blank'>Other Link</a>"
coa catabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/124"" target='_blank'>Other Link</a>"
coenzyme a biosynthesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=COA-PWY"" target='_blank'>Other Link</a>"
copper transport ii,,,,
creatine-phosphate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6158"" target='_blank'>BioCyc Link</a>",,
cyanoamino acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00460"" target=_new>KEGG</a>",,,
cysteine and methionine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00270"" target=_new>KEGG</a>",,,
cysteine biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6308"" target='_blank'>BioCyc Link</a>",,
