V1,V2,V3
3-Phosphoglycerate dehydrogenase deficiency,"2-Ketobutyric acid; Betaine; Adenosine monophosphate; Ammonia; Creatine; Dimethylglycine; L-Cystathionine; Glyoxylic acid; Glycine; Guanidoacetic acid; Glyceric acid; L-Glutamic acid; L-Alanine; L-Serine; Oxoglutaric acid; Orotidylic acid; Pyruvic acid; Pyrophosphate; Sarcosine; Phosphoserine; L-Arginine; Adenosine triphosphate; Magnesium; L-Cysteine; L-Methionine; Homocysteine; 3-Phosphoglyceric acid; NAD; S-Adenosylhomocysteine; Succinyl-CoA; Phosphohydroxypyruvic acid; 5-Aminolevulinic acid; Pyruvaldehyde; S-Adenosylmethionine; Acetyl-CoA; FAD; Zinc (II) ion; ADP; Hydroxypyruvic acid; Oxygen; Coenzyme A; Formaldehyde; Phosphate; (R)-lipoic acid; NADH; Pyridoxal 5'-phosphate; 5,10-Methylene-THF; Tetrahydrofolic acid; Carbon dioxide; Water; Aminoacetone; Hydrogen peroxide; D-Serine; L-2-Amino-3-oxobutanoic acid; Dihydrolipoate; 8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid; (S)-lipoic acid",http://www.smpdb.ca/view/SMP00721
5-oxoprolinase deficiency,Cysteinylglycine; Glycine; Glutathione; L-Glutamic acid; L-Alanine; NADP; NADPH; Pyroglutamic acid; Adenosine triphosphate; L-Cysteine; gamma-Glutamylcysteine; FAD; Zinc (II) ion; ADP; Water; Phosphoric acid; Hydrogen peroxide; Oxidized glutathione; gamma-Glutamylalanine; Zinc; Bromomethane,http://www.smpdb.ca/view/SMP00500
Abacavir Action Pathway,Adenosine monophosphate; Pyrophosphate; Adenosine triphosphate; Abacavir; Carbovir Triphosphate,http://www.smpdb.ca/view/SMP00737
Acebutolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Acebutolol",http://www.smpdb.ca/view/SMP00296
Acenocoumarol Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phytonadione; Acenocoumarol",http://www.smpdb.ca/view/SMP00269
Acetaminophen  Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Acetaminophen; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00710
Acetaminophen Metabolism Pathway,"Adenosine 3',5'-diphosphate; Glutathione; Uridine 5'-diphosphate; Adenosine triphosphate; NAD; Uridine diphosphate glucuronic acid; Phosphoadenosine phosphosulfate; ADP; Phosphate; NADH; Acetaminophen; Water; Heme; Acetaminophen glucuronide; Paracetamol sulfate; Acetaminophen cystein; NAPQI",http://www.smpdb.ca/view/SMP00640
Acetylsalicylic Acid Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Aspirin; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00083
Acrivastine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Acrivastine",http://www.smpdb.ca/view/SMP59881
Adefovir Dipivoxil  Action Pathway,Adenosine triphosphate; ADP; Phosphate; Water; Adefovir Dipivoxil,http://www.smpdb.ca/view/SMP00418
Adefovir Dipivoxil Metabolism Pathway,Adenosine triphosphate; Magnesium; ADP; Adefovir Dipivoxil,http://www.smpdb.ca/view/SMP00629
Adenine phosphoribosyltransferase deficiency (APRT),"Adenine; Adenosine monophosphate; Adenosine; Ammonia; Cyclic AMP; Deoxyinosine; Deoxyguanosine; Deoxyadenosine; Glycine; Guanine; Guanosine; Fumaric acid; L-Glutamic acid; Hypoxanthine; Inosinic acid; Inosine triphosphate; L-Aspartic acid; Inosine; NADP; NADPH; Pyrophosphate; Phosphoribosyl pyrophosphate; Uric acid; Xanthine; Xanthosine; Calcium; Adenylsuccinic acid; Adenosine triphosphate; Magnesium; Potassium; L-Glutamine; SAICAR; NAD; Deoxyadenosine monophosphate; dGDP; 10-Formyltetrahydrofolate; Phosphoribosylformylglycineamidine; 2'-Deoxyguanosine 5'-monophosphate; 5-Phosphoribosylamine; Adenosine diphosphate ribose; Guanosine diphosphate; 5-Aminoimidazole ribonucleotide; FAD; Guanosine triphosphate; Zinc (II) ion; 5'-Phosphoribosyl-N-formylglycinamide; Diguanosine tetraphosphate; ADP; Deoxyribose 1-phosphate; Oxygen; Guanosine monophosphate; Phosphate; Phosphoribosyl formamidocarboxamide; dGTP; NADH; Ribose 1-phosphate; dADP; AICAR; Deoxyadenosine triphosphate; D-Ribose 5-phosphate; Xanthylic acid; Tetrahydrofolic acid; Carbon dioxide; Glycineamideribotide; Water; Phosphoric acid; Hydrogen peroxide; Heme; 5-Aminoimidazole-4-carboxamide; IDP; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate; Guanosine 2',3'-cyclic phosphate ; Fe3+",http://www.smpdb.ca/view/SMP00535
"Adrenoleukodystrophy, X-linked",L-Carnitine; L-Acetylcarnitine; Adenosine triphosphate; Magnesium; Dodecanoic acid; Acetyl-CoA; ADP; Coenzyme A; Tetradecanoyl-CoA; Tetracosanoic acid; Hexacosanoic acid; Lauroyl-CoA; Hexacosanoyl-CoA; Tetracosanoyl-CoA,http://www.smpdb.ca/view/SMP00516
Alcaftadine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Alcaftadine; Histamium",http://www.smpdb.ca/view/SMP62881
Alendronate Action Pathway,"7-Dehydrocholesterol; Cholesterol; Formic acid; NADP; Palmitic acid; NADPH; Mevalonic acid; Pyrophosphate; Squalene; Adenosine triphosphate; Magnesium; Vitamin D3; Farnesyl pyrophosphate; 4,4-Dimethylcholesta-8,14,24-trienol; (S)-5-Diphosphomevalonic acid; Dimethylallylpyrophosphate; Lathosterol; (S)-2,3-Epoxysqualene; Acetyl-CoA; 4a-Methylzymosterol; FAD; Lanosterin; Geranyl-PP; 4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol; ADP; Mevalonic acid-5P; Isopentenyl pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; Alendronic acid; Carbon dioxide; 8-Dehydrocholesterol; Water; Desmosterol; Heme; 7-Dehydrodesmosterol; Zymosterol intermediate 2; 3-Keto-4-methylzymosterol; 24,25-Dihydrolanosterol; 4,4-Dimethyl-5a-cholesta-8-en-3b-ol; 5a-Cholest-8-en-3b-ol; 5a-Cholesta-7,24-dien-3b-ol; 4a-Methylzymosterol-4-carboxylic acid; CE(18:0); Iron",http://www.smpdb.ca/view/SMP00095
Alfentanil Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Alfentanil,http://www.smpdb.ca/view/SMP00413
Alimemazine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Trimeprazine; Histamium",http://www.smpdb.ca/view/SMP59689
Alprenolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Alprenolol",http://www.smpdb.ca/view/SMP00297
Alteplase Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phytonadione",http://www.smpdb.ca/view/SMP00280
Alvimopan Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Alvimopan,http://www.smpdb.ca/view/SMP00685
Amikacin Action Pathway,Adenosine monophosphate; Cytidine triphosphate; Cytidine monophosphate; L-Alanine; L-Proline; L-Threonine; L-Asparagine; L-Isoleucine; L-Histidine; Pyrophosphate; Uridine triphosphate; Uridine 5'-monophosphate; Adenosine triphosphate; L-Leucine; L-Methionine; L-Valine; Guanosine triphosphate; Guanosine monophosphate; D-Serine; Amikacin,http://www.smpdb.ca/view/SMP00253
Amiloride Action Pathway,Aldosterone; Urea; Chloride ion; L-Cysteine; Potassium; Sodium; Hydrogen carbonate; Water; Amiloride,http://www.smpdb.ca/view/SMP00133
Aminocaproic Acid Action Pathway,"Cortexolone; Calcium; Aminocaproic acid; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phytonadione",http://www.smpdb.ca/view/SMP00286
Amiodarone Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Amiodarone",http://www.smpdb.ca/view/SMP00665
Amlodipine Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; Amlodipine; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z))",http://www.smpdb.ca/view/SMP00376
Anileridine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Anileridine,http://www.smpdb.ca/view/SMP00674
Anistreplase Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phytonadione",http://www.smpdb.ca/view/SMP00281
Antazoline H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Antazoline; Histamium",http://www.smpdb.ca/view/SMP57584
Antipyrine Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Antipyrine; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00692
Antrafenine Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Antrafenine; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00693
