OMIM,label
107700,"APPENDICITIS, PRONENESS TO"
187410,"DEOXYNUCLEOTIDYLTRANSFERASE, TERMINAL"
615253,"CHROMOSOME 5 OPEN READING FRAME 54"
615252,"ZBED6 C TERMINUS-LIKE PROTEIN"
615251,"ZINC FINGER BED DOMAIN-CONTAINING PROTEIN 5"
615250,"ZINC FINGER BED DOMAIN-CONTAINING PROTEIN 3"
615257,"METHYLTRANSFERASE-LIKE 21A"
615256,"METHYLTRANSFERASE-LIKE 20"
615255,"METHYLTRANSFERASE-LIKE 18"
615254,"SCAN DOMAIN-CONTAINING PROTEIN 3"
615259,"METHYLTRANSFERASE-LIKE 21C"
137181,"GAMMA-GLUTAMYLTRANSFERASE 2"
142340,"DIAPHRAGMATIC HERNIA, CONGENITAL"
136850,"FUMARATE HYDRATASE"
142967,"HOMEOBOX B2"
138981,"GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR, BETA"
604659,"ENDOGENOUS RETROVIRAL FAMILY W, MEMBER 1"
604658,"TRANSMEMBRANE 7 SUPERFAMILY, MEMBER 1"
108100,"ARTHRITIS, SACROILIAC"
604651,"GROWTH/DIFFERENTIATION FACTOR 7"
604650,"INTERFERON-INDUCED PROTEIN WITH TETRATRICOPEPTIDE REPEATS 3"
604653,"SOLUTE CARRIER FAMILY 40 (IRON-REGULATED TRANSPORTER), MEMBER 1"
604652,"TRANSCRIPTION FACTOR 7-LIKE 1"
604655,"MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14"
604654,"5-HYDROXYTRYPTAMINE RECEPTOR 3B"
604657,"TRANSMEMBRANE 4 SUPERFAMILY, MEMBER 5"
604656,"FORMIN-LIKE 1"
136580,"FRAGILE SITE, DISTAMYCIN A TYPE, RARE, FRA(16)(q22.1)"
603029,"TOLL-LIKE RECEPTOR 3"
603028,"TOLL-LIKE RECEPTOR 2"
601156,"CHEMOKINE, CC MOTIF, LIGAND 11"
147730,"INTERLEUKIN 2 RECEPTOR, ALPHA"
603023,"IKAROS FAMILY ZINC FINGER 1"
603022,"E4F TRANSCRIPTION FACTOR 1"
603021,"MITOCHONDRIAL RIBOSOMAL PROTEIN S12"
603020,"ATPase FAMILY GENE 3-LIKE 1"
603027,"FRUCTOSE-1,6-BISPHOSPHATASE 2"
603026,"PLEOMORPHIC ADENOMA GENE 1"
603025,"PHOSPHATIDYLINOSITOL-BINDING CLATHRIN ASSEMBLY PROTEIN"
603024,"AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 1A"
612700,"RIMS-BINDING PROTEIN 3B"
612701,"RIMS-BINDING PROTEIN 3C"
612702,"HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA"
612703,"MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECESSIVE"
612704,"RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 1"
612705,"RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 2"
612706,"RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 3"
103700,"ALCOHOL DEHYDROGENASE 1A, CLASS I, ALPHA POLYPEPTIDE"
612708,"RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 5"
612709,"RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 6"
225310,"EHLERS-DANLOS SYNDROME WITH PLATELET DYSFUNCTION FROM FIBRONECTIN ABNORMALITY"
607306,"STEROID 5-ALPHA-REDUCTASE 2"
607307,"FILAMIN A-INTERACTING PROTEIN 1"
607304,"CATARACT 27"
607305,"MDS2 GENE"
607302,"MORTALITY FACTOR 4"
607303,"MORTALITY FACTOR 4-LIKE PROTEIN 1"
607300,"PRECURSOR mRNA-PROCESSING FACTOR 8, S. CEREVISIAE, HOMOLOG OF"
607301,"PRECURSOR mRNA-PROCESSING FACTOR 3, S. CEREVISIAE, HOMOLOG OF"
616281,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 49"
616280,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U"
616283,"PSEUDOURIDYLATE SYNTHASE 3"
230710,"TAY-SACHS DISEASE"
616285,"FORMIN-LIKE 2"
616284,"FILAGGRIN FAMILY MEMBER 2"
607308,"MAMMOGRAPHIC DENSITY"
188770,"TIBIA, HYPOPLASIA OR APLASIA OF, WITH POLYDACTYLY"
109270,"SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER), MEMBER 1"
606653,"LEUCINE-RICH REPEAT-CONTAINING G PROTEIN-COUPLED RECEPTOR 6"
606652,"HEPATITIS A VIRUS CELLULAR RECEPTOR 2"
606651,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE 3B"
606650,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE 3A"
606657,"GLAUCOMA, NORMAL TENSION, SUSCEPTIBILITY TO"
606656,"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 2"
606655,"RELAXIN/INSULIN-LIKE FAMILY PEPTIDE RECEPTOR 2"
606654,"RELAXIN/INSULIN-LIKE FAMILY PEPTIDE RECEPTOR 1"
614661,"PROTEIN ASSOCIATED WITH TOPOISOMERASE II, S. CEREVISIAE, HOMOLOG OF, 2"
614660,"PROTEIN ASSOCIATED WITH TOPOISOMERASE II, S. CEREVISIAE, HOMOLOG OF, 1"
606659,"TRANSLOCASE OF INNER MITOCHONDRIAL MEMBRANE 8, YEAST, HOMOLOG OF, B"
606658,"SPINOCEREBELLAR ATAXIA 15"
614665,"MECONIUM ILEUS"
614664,"TRIGGERING RECEPTOR EXPRESSED ON MYELOID CELLS-LIKE PROTEIN 4"
614667,"MITOCHONDRIAL TRANSLATION OPTIMIZATION 1, S. CEREVISIAE, HOMOLOG OF"
614666,"COILED-COIL DOMAIN-CONTAINING PROTEIN 78"
616133,"MPV17-LIKE PROTEIN 2"
616132,"GASTRIC CANCER-ASSOCIATED TRANSCRIPT 3, NONCODING"
218090,"CRANE-HEISE SYNDROME"
616130,"LEUCINE-RICH ADAPTOR PROTEIN 1-LIKE"
616137,"MICRO RNA 873"
616136,"RING FINGER PROTEIN 220"
603689,"HEREDITARY MYOPATHY WITH EARLY RESPIRATORY FAILURE"
603688,"PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY"
603687,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A2"
603686,"RIBOSOMAL PROTEIN L9"
603685,"RIBOSOMAL PROTEIN S28"
603684,"LIPASE, ENDOTHELIAL"
603683,"RIBOSOMAL PROTEIN S23"
603682,"RIBOSOMAL PROTEIN S20"
603681,"OTOFERLIN"
603680,"ATAXIN 8 OPPOSITE STRAND"
602378,"DYNAMIN 2"
602379,"PROTEIN PHOSPHATASE 6, CATALYTIC SUBUNIT"
602370,"GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED MOLECULE-LIKE PROTEIN"
602371,"ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 3"
602372,"ZONADHESIN"
602373,"CALPONIN 2"
602374,"CALPONIN 3"
602375,"MITOCHONDRIAL RIBOSOMAL PROTEIN L12"
308290,"IMPRINTING GENE RELATED TO RETINOBLASTOMA"
602377,"DYNAMIN 1"
107285,"SECRETORY LEUKOCYTE PROTEASE INHIBITOR"
107280,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3"
603979,"ZINC FINGER PROTEIN 97"
603978,"ZINC FINGER- AND SCAN DOMAIN-CONTAINING PROTEIN 12"
233690,"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-NEGATIVE"
603971,"ZINC FINGER PROTEIN 91"
603970,"PARANEOPLASTIC MA ANTIGEN 2"
603973,"ZINC FINGER PROTEIN 90"
603972,"ZINC FINGER PROTEIN 43"
603975,"ZINC FINGER PROTEIN 93"
603974,"ZINC FINGER PROTEIN 92"
603977,"ZINC FINGER PROTEIN 208"
603976,"ZINC FINGER PROTEIN 94"
602082,"CORNEAL DYSTROPHY, THIEL-BEHNKE TYPE"
602083,"USHER SYNDROME, TYPE IF"
602080,"PAGET DISEASE OF BONE 2, EARLY-ONSET"
602081,"SPEECH-LANGUAGE DISORDER 1"
602086,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 3"
602087,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 4"
602084,"PHOSPHATASE AND TENSIN HOMOLOG"
602085,"POLYDACTYLY, POSTAXIAL, TYPE A2"
602088,"NEPHRONOPHTHISIS 2"
602089,"HEMANGIOMA, CAPILLARY INFANTILE"
131310,"ENGRAILED 2"
615536,"CHROMOSOME 2 OPEN READING FRAME 80"
615537,"RETICULATE ACROPIGMENTATION OF KITAMURA"
615534,"TRANSLOCASE OF INNER MITOCHONDRIAL MEMBRANE DOMAIN-CONTAINING PROTEIN 1"
615535,"SPECTRIN REPEAT-CONTAINING NUCLEAR ENVELOPE PROTEIN 4"
615532,"ENDOPLASMIC RETICULUM MEMBRANE-ASSOCIATED RNA DEGRADATION PROTEIN"
615533,"TRANSMEMBRANE PROTEIN 126B"
615530,"PARKINSON DISEASE 20, EARLY-ONSET"
615531,"TRANSMEMBRANE PROTEIN 79"
615538,"CHROMOSOME 22q13 DUPLICATION SYNDROME"
615539,"EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 2"
607968,"PARATHYROID HORMONE-RESPONSIVE B1 GENE"
140850,"HEMANGIOMAS, CAVERNOUS, OF FACE AND SUPRAUMBILICAL MIDLINE RAPHE"
125647,"DESMOPLAKIN"
125645,"DESMOCOLLIN 2"
125643,"DESMOCOLLIN 1"
125640,"DERMOODONTODYSPLASIA"
617660,"VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 1"
617661,"VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 2"
617662,"JOINT LAXITY, SHORT STATURE, AND MYOPIA"
617663,"DEAFNESS, AUTOSOMAL DOMINANT 73"
617664,"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 32"
617665,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 56"
617666,"FRASER SYNDROME 2"
617667,"FRASER SYNDROME 3"
617668,"ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES"
617669,"ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND SPASTICITY"
173560,"PLATELET MEMBRANE FLUIDITY"
607964,"METHYL-CpG BINDING DOMAIN PROTEIN 3-LIKE 2"
605689,"COPINE VII"
605688,"COPINE VI"
605681,"BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN, 1B"
605680,"BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN, 1A"
605683,"BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN, 2B"
605682,"BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN, 2A"
605685,"COHEN SYNDROME"
605684,"TRIPARTITE MOTIF-CONTAINING PROTEIN 34"
605687,"INTERLEUKIN 19"
605686,"CELL ADHESION MOLECULE 1"
135940,"FILAGGRIN"
601615,"ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 3"
605533,"NEUREGULIN 3"
605532,"SMAD-SPECIFIC E3 UBIQUITIN PROTEIN LIGASE 2"
605531,"UPF3, YEAST, HOMOLOG OF, B"
605530,"UPF3, YEAST, HOMOLOG OF, A"
605537,"ACTIVATING TRANSCRIPTION FACTOR 6"
605536,"RAB11 FAMILY-INTERACTING PROTEIN 5"
605535,"HIGH MOBILITY GROUP PROTEIN 20B"
605534,"HIGH MOBILITY GROUP PROTEIN 20A"
605539,"KALLIKREIN-RELATED PEPTIDASE 12"
605538,"NEUROTENSIN RECEPTOR 2"
153800,"MACULAR DEGENERATION, AGE-RELATED, 2"
236900,"HYDROXYLYSINURIA"
246200,"DONOHUE SYNDROME"
134610,"FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT"
611549,"SODIUM LEAK CHANNEL, NONSELECTIVE"
611548,"PREMATURE OVARIAN FAILURE 5"
611547,"STATURE QUANTITATIVE TRAIT LOCUS 9"
611546,"ELONGATION OF VERY LONG CHAIN FATTY ACIDS-LIKE 6"
611545,"CYTOCHROME P450, FAMILY 4, SUBFAMILY F, POLYPEPTIDE 8"
611544,"CATARACT 17, MULTIPLE TYPES"
611543,"CAVITARY OPTIC DISC ANOMALIES"
611542,"ARYLSULFATASE B"
611541,"SORTING NEXIN 27"
611540,"SH3-DOMAIN GRB2-LIKE (ENDOPHILIN)-INTERACTING PROTEIN 1"
146450,"HYPOSPADIAS 3, AUTOSOMAL"
123940,"KERATIN 4, TYPE II"
300872,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 6"
300873,"GUANINE NUCLEOTIDE-BINDING PROTEIN-LIKE 3-LIKE PROTEIN"
300870,"ANEURYSM, INTRACRANIAL BERRY, 5"
300871,"FUN14 DOMAIN-CONTAINING PROTEIN 1"
300876,"MICRO RNA 509-3"
300877,"MICRO RNA 506"
300874,"MICRO RNA 508"
300875,"MICRO RNA 509-1"
300878,"DOUBLESEX- AND MAB3-RELATED TRANSCRIPTION FACTOR C1"
300879,"XG GLYCOPROTEIN"
248010,"MACROEPIPHYSEAL DYSPLASIA WITH OSTEOPOROSIS, WRINKLED SKIN, AND AGED APPEARANCE"
190232,"TRANSITION PROTEIN 2"
218530,"CRANIOSYNOSTOSIS WITH ANOMALIES OF THE CRANIAL BASE AND DIGITS"
314500,"VAN DEN BOSCH SYNDROME"
272800,"TAY-SACHS DISEASE"
603540,"GAMMA-AMINOBUTYRIC ACID B RECEPTOR 1"
616095,"MONOCARBOXYLATE TRANSPORTER 1 DEFICIENCY"
603542,"SMALL NUCLEAR RIBONUCLEOPROTEIN POLYPEPTIDE G"
173511,"GLYCOPROTEIN V, PLATELET"
603543,"LIMB-MAMMARY SYNDROME"
603544,"CYCLIN K"
603545,"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT"
603546,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 2"
614353,"HAS2 ANTISENSE RNA 1"
603547,"METHYL-CpG-BINDING DOMAIN PROTEIN 2"
207800,"ARGININEMIA"
163980,"CARCINOEMBRYONIC ANTIGEN-RELATED CELL ADHESION MOLECULE 6"
126141,"DIPEPTIDYL PEPTIDASE VI"
123050,"CRANIORHINY"
600468,"ATPase, Cu(2+)-TRANSPORTING, ALPHA POLYPEPTIDE"
610395,"GLIPR1-LIKE PROTEIN 1"
126660,"DREBRIN E"
610397,"TRAFFICKING PROTEIN PARTICLE COMPLEX, SUBUNIT 6B"
610396,"TRAFFICKING PROTEIN PARTICLE COMPLEX, SUBUNIT 6A"
610391,"PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN 3"
226500,"EPIDERMOLYSIS BULLOSA DYSTROPHICA NEUROTROPHICA"
610393,"GON4-LIKE PROTEIN"
610392,"MYC-BINDING PROTEIN 2"
610399,"TRANSMEMBRANE PROTEASE, SERINE 11E"
610398,"SAP30-LIKE PROTEIN"
150360,"LARYNGEAL WEB, FAMILIAL"
158170,"CHROMOSOME 9p DELETION SYNDROME"
120620,"COMPLEMENT COMPONENT RECEPTOR 1"
158280,"MOTION SICKNESS"
241310,"HYPOMANDIBULAR FACIOCRANIAL DYSOSTOSIS"
174800,"MCCUNE-ALBRIGHT SYNDROME"
201400,"ACTH DEFICIENCY, ISOLATED"
312610,"RETINITIS PIGMENTOSA GTPase REGULATOR"
312612,"RETINITIS PIGMENTOSA 6"
614414,"DEAFNESS, AUTOSOMAL RECESSIVE 96"
120080,"COLCHICINE RESISTANCE"
300599,"G ANTIGEN 6"
300598,"G ANTIGEN 5"
300591,"STATURE QUANTITATIVE TRAIT LOCUS 6"
300590,"CORNELIA DE LANGE SYNDROME 2"
300593,"SPERM ACROSOME-ASSOCIATED PROTEIN 5"
300592,"CANCER/TESTIS ANTIGEN FAMILY 47, MEMBER A11"
300595,"G ANTIGEN 2C"
300594,"G ANTIGEN 1"
300597,"G ANTIGEN 4"
300596,"G ANTIGEN 3"
153100,"LYMPHEDEMA, HEREDITARY, IA"
118301,"CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM"
118300,"CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS"
300043,"TBC1 DOMAIN FAMILY, MEMBER 20"
300042,"ALOPECIA, CONGENITAL"
300041,"GUANYLATE CYCLASE 2F, RETINAL"
300040,"STRUCTURAL MAINTENANCE OF CHROMOSOMES 1A"
300047,"MENTAL RETARDATION, X-LINKED 20"
300046,"MENTAL RETARDATION, X-LINKED 23"
300045,"SPEECH-LANGUAGE DISORDER 1"
300044,"TRANSKETOLASE-LIKE 1"
300049,"PERIVENTRICULAR NODULAR HETEROTOPIA 1"
300048,"INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED"
161800,"NEMALINE MYOPATHY 3"
160745,"MYOSIN, HEAVY CHAIN 11, SMOOTH MUSCLE"
121020,"EPISODIC ATAXIA, TYPE 1"
142100,"HEMOGLOBIN--EPSILON LOCUS"
251850,"DIARRHEA 2, WITH MICROVILLUS ATROPHY"
307800,"HYPOPHOSPHATEMIC RICKETS, X-LINKED DOMINANT"
600152,"SEC13-LIKE PROTEIN 1"
600153,"PHOSPHATIDYLINOSITOL GLYCAN ANCHOR BIOSYNTHESIS CLASS F PROTEIN"
600150,"POTASSIUM CHANNEL, CALCIUM-ACTIVATED, LARGE CONDUCTANCE, SUBFAMILY M, ALPHA MEMBER 1"
600151,"BARDET-BIEDL SYNDROME 3"
600156,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 5"
600157,"ADAPTOR-RELATED PROTEIN COMPLEX 1, BETA-1 SUBUNIT"
600154,"PHOSPHATIDYLINOSITOL GLYCAN ANCHOR BIOSYNTHESIS CLASS H PROTEIN"
600155,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 2"
600158,"PSEUDO-TORCH SYNDROME 1"
600159,"PTERYGIUM COLLI AND MENTAL RETARDATION WITH FACIAL AND DIGITAL ANOMALIES"
158901,"FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 2"
158900,"FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1"
209950,"IMMUNODEFICIENCY 27A"
302350,"NANCE-HORAN SYNDROME"
237310,"N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY"
267200,"RENAL TUBULAR ACIDOSIS III"
228900,"FIBULAR HYPOPLASIA AND COMPLEX BRACHYDACTYLY"
606411,"SOLUTE CARRIER FAMILY 13 (SODIUM-DEPENDENT DICARBOXYLATE TRANSPORTER), MEMBER 3"
606410,"ANTHRAX TOXIN RECEPTOR 1"
606413,"INSULIN-LIKE 5"
606412,"BSND GENE"
606415,"CANDIDIASIS, FAMILIAL, 1"
606414,"INSULIN-LIKE 6"
606417,"WD REPEAT-CONTAINING PROTEIN 11"
606416,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 3"
606419,"PRECURSOR mRNA-PROCESSING FACTOR 31, S. CEREVISIAE, HOMOLOG OF"
606418,"24-DEHYDROCHOLESTEROL REDUCTASE"
144190,"HYPERKERATOSIS-HYPERPIGMENTATION SYNDROME"
616731,"NEVER IN MITOSIS GENE A-RELATED KINASE 5"
616730,"NEPHROTIC SYNDROME, TYPE 11"
616733,"COENZYME Q10 DEFICIENCY, PRIMARY, 8"
616732,"OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA, MENTAL RETARDATION, AND SEIZURES"
616735,"COILED-COIL DOMAIN-CONTAINING PROTEIN 174: CCDC174"
616734,"SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 2"
126340,"EXCISION REPAIR, COMPLEMENTING DEFECTIVE, IN CHINESE HAMSTER, 2"
616736,"TREMOR, HEREDITARY ESSENTIAL, 5"
616739,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51"
616738,"RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 2"
612421,"ALOPECIA, ANDROGENETIC, 3"
612420,"ACTIN FILAMENT-ASSOCIATED PROTEIN 1-LIKE PROTEIN 2"
612423,"PREKALLIKREIN DEFICIENCY"
612422,"CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 3"
612425,"SHUGOSHIN-LIKE 2"
612424,"EYES SHUT, DROSOPHILA, HOMOLOG OF"
612427,"RNA-BINDING MOTIF PROTEIN 25"
612426,"CHROMOSOME 16 OPEN READING FRAME 75"
612429,"ZINC FINGER PROTEIN 300"
612428,"RNA-BINDING MOTIF PROTEIN 38"
308050,"CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS"
135550,"FIBROMATOSIS, GINGIVAL, WITH PROGRESSIVE DEAFNESS"
